symbol, companyName, marketCap, sector, industry, beta, price, lastAnnualDividend, volume, exchange, exchangeShortName, country, isEtf, isFund, isActivelyTrading
"AAPL","Apple Inc.","3335013409000","Technology","Consumer Electronics","1.244","217.49","1","51233438","NASDAQ Global Select","NASDAQ","US","false","false","true",
"MSFT","Microsoft Corporation","3109678504000","Technology","Software - Infrastructure","0.894","418.4","3","29396859","NASDAQ Global Select","NASDAQ","US","false","false","true",
"NVDA","NVIDIA Corporation","2762088000000","Technology","Semiconductors","1.68","112.28","0.04","454669873","NASDAQ Global Select","NASDAQ","US","false","false","true",
"GOOGL","Alphabet Inc.","2077758352570","Communication Services","Internet Content & Information","1.046","167.28","0.8","43499861","NASDAQ Global Select","NASDAQ","US","false","false","true",
"VSMPX","Vanguard Total Stock Mkt Idx Instl Pls","2061341442750","","","1.01","243.42","1.6440000000000001","0","Nasdaq","NASDAQ","null","false","true","true",
"AMZN","Amazon.com, Inc.","1871627010000","Consumer Cyclical","Specialty Retail","1.155","179.85","0","42677290","NASDAQ Global Select","NASDAQ","US","false","false","true",
"VFIAX","Vanguard 500 Index Fd Admiral Shs","1173263931903","","","1","498.43","4.842700000000001","0","NASDAQ","NASDAQ","null","false","true","true",
"META","Meta Platforms, Inc.","1150489510166","Communication Services","Internet Content & Information","1.212","453.41","2","18125937","NASDAQ Global Select","NASDAQ","US","false","false","true",
"VITSX","Vanguard Total Stock Market Index Fund","1098924802111","Financial Services","Asset Management","1.01","129.77","0.877","0","NASDAQ","NASDAQ","US","false","true","true",
"VTSAX","Vanguard Total Stock Market Index Fund","1098755456963","Financial Services","Asset Management","1.01","129.75","0.907118","0","NASDAQ","NASDAQ","US","false","true","true",
"BRK-B","Berkshire Hathaway Inc.","933914768650","Financial Services","Insurance - Diversified","0.869","433.29","0","2598351","New York Stock Exchange","NYSE","US","false","false","true",
"LLY","Eli Lilly and Company","780463081950","Healthcare","Drug Manufacturers - General","0.409","821.19","5.2","4835401","New York Stock Exchange","NYSE","US","false","false","true",
"TSM","Taiwan Semiconductor Manufacturing Company Limited","766891338380","Technology","Semiconductors","1.288","160.28","2.46","24093340","New York Stock Exchange","NYSE","TW","false","false","true",
"TSLA","Tesla, Inc.","702421300000","Consumer Cyclical","Auto - Manufacturers","2.313","220.25","0","100194245","NASDAQ Global Select","NASDAQ","US","false","false","true",
"AVGO","Broadcom Inc.","694787388800","Technology","Semiconductors","1.188","149.26","2.1","30001548","NASDAQ Global Select","NASDAQ","US","false","false","true",
"JPM","JPMorgan Chase & Co.","599231378900","Financial Services","Banks - Diversified","1.112","208.67","4.6","4990956","New York Stock Exchange","NYSE","US","false","false","true",
"NVO","Novo Nordisk A/S","581890045404","Healthcare","Biotechnology","0.151","127.86","1.37","5063416","New York Stock Exchange","NYSE","DK","false","false","true",
"WMT","Walmart Inc.","563208670800","Consumer Defensive","Discount Stores","0.501","70.02","0.83","18813849","New York Stock Exchange","NYSE","US","false","false","true",
"FXAIX","Fidelity 500 Index Fund","558406164998","Financial Services","Asset Management","1","187.58","1.814","0","NASDAQ","NASDAQ","US","false","true","true",
"XOM","Exxon Mobil Corporation","526782759900","Energy","Oil & Gas Integrated","0.893","117.43","3.8","12200642","New York Stock Exchange","NYSE","US","false","false","true",
"UNH","UnitedHealth Group Incorporated","515121076800","Healthcare","Medical - Healthcare Plans","0.603","559.68","8.4","3100806","New York Stock Exchange","NYSE","US","false","false","true",
"V","Visa Inc.","476862275132","Financial Services","Financial - Credit Services","0.953","253.74","2.08","7630587","New York Stock Exchange","NYSE","US","false","false","true",
"VTIAX","Vanguard Total International Stock Index Fd Admiral","426804023155","","","1.03","32.45","0.7260000000000001","0","NASDAQ","NASDAQ","null","false","true","true",
"VTPSX","Vanguard Total Intl Stock Idx InstlPls","426738436194","null","null","1.03","129.79","2.9370000000000003","0","Nasdaq","NASDAQ","null","false","true","true",
"MA","Mastercard Incorporated","396293112000","Financial Services","Financial - Credit Services","1.09","429.6","2.64","2274265","New York Stock Exchange","NYSE","US","false","false","true",
"PG","The Procter & Gamble Company","393907366000","Consumer Defensive","Household & Personal Products","0.4","166.9","4.03","7337467","New York Stock Exchange","NYSE","US","false","false","true",
"JNJ","Johnson & Johnson","384202395200","Healthcare","Drug Manufacturers - General","0.517","159.64","4.96","8063092","New York Stock Exchange","NYSE","US","false","false","true",
"ORCL","Oracle Corporation","379812625200","Technology","Software - Infrastructure","1.014","137.82","1.6","6035410","New York Stock Exchange","NYSE","US","false","false","true",
"COST","Costco Wholesale Corporation","361739193250","Consumer Defensive","Discount Stores","0.769","815.95","4.64","2094061","NASDAQ Global Select","NASDAQ","US","false","false","true",
"HD","The Home Depot, Inc.","350327310060","Consumer Cyclical","Home Improvement","0.989","353.29","9","3268075","New York Stock Exchange","NYSE","US","false","false","true",
"ASML","ASML Holding N.V.","339377743216","Technology","Semiconductors","1.104","862.63","6.67","2074811","NASDAQ Global Select","NASDAQ","NL","false","false","true",
"MC.PA","LVMH Moët Hennessy - Louis Vuitton, Société Européenne","326002935175","Consumer Cyclical","Luxury Goods","0.981","652.6","13","454726","Paris","EURONEXT","FR","false","false","true",
"BAC","Bank of America Corporation","325953021600","Financial Services","Banks - Diversified","1.356","41.68","0.96","36165012","New York Stock Exchange","NYSE","US","false","false","true",
"ABBV","AbbVie Inc.","321688537900","Healthcare","Drug Manufacturers - General","0.623","182.17","6.2","7834168","New York Stock Exchange","NYSE","US","false","false","true",
"VBMPX","Vanguard Total Bond Market Idx InstlPls","320728126728","Financial Services","Asset Management - Bonds","0.99","9.56","0.274","0","NASDAQ","NASDAQ","null","false","true","true",
"VBMFX","Vanguard Total Bond Market Index Fund Investor Shares","320728126728","Financial Services","Asset Management - Bonds","0.99","9.56","0.264","0","NASDAQ","NASDAQ","null","false","true","true",
"VBTLX","Vanguard Total Bond Market Index Fund Admiral Shares","320057147383","Financial Services","Asset Management - Bonds","0.99","9.56","0.273","0","NASDAQ","NASDAQ","US","false","true","true",
"MRK","Merck & Co., Inc.","318754138500","Healthcare","Drug Manufacturers - General","0.389","125.85","3.08","6033370","New York Stock Exchange","NYSE","US","false","false","true",
"ASML.AS","ASML Holding N.V.","314580345543","Technology","Semiconductors","1.104","799.6","6.17","998743","Amsterdam","EURONEXT","NL","false","false","true",
"VMCPX","Vanguard Mid-Cap Index Fund Institutional Plus Shares","309283288630","Financial Services","Asset Management","1.04","332.04","2.86583","0","NASDAQ","NASDAQ","null","false","true","true",
"VINIX","Vanguard Institutional Index Fund Institutional Shares","297440214720","Financial Services","Asset Management","1","444.49","3.042443","0","NASDAQ","NASDAQ","US","false","true","true",
"VIIIX","Vanguard Institutional Index Fund","295915631357","Financial Services","Asset Management","1","444.48","3.004","0","NASDAQ","NASDAQ","US","false","true","true",
"VTBNX","Vanguard Total Bond Market II Idx I","291412624709","Financial Services","Asset Management - Bonds","0.99","9.44","0.27399999999999997","0","Nasdaq","NASDAQ","null","false","true","true",
"CVX","Chevron Corporation","290341493800","Energy","Oil & Gas Integrated","1.091","157.54","6.52","4420079","New York Stock Exchange","NYSE","US","false","false","true",
"KO","The Coca-Cola Company","284626256500","Consumer Defensive","Beverages - Non-Alcoholic","0.592","66.07","1.94","13895715","New York Stock Exchange","NYSE","US","false","false","true",
"VIMAX","Vanguard Mid-Cap Index Fund Admiral Shares","283882287547","Financial Services","Asset Management","1.04","304.77","2.416","0","NASDAQ","NASDAQ","null","false","true","true",
"NFLX","Netflix, Inc.","272129234850","Communication Services","Entertainment","1.266","634.09","0","4416973","NASDAQ Global Select","NASDAQ","US","false","false","true",
"TM","Toyota Motor Corporation","262981571889","Consumer Cyclical","Auto - Manufacturers","0.472","195.25","4.01","211540","New York Stock Exchange","NYSE","JP","false","false","true",
"MRK.PA","Merck & Co., Inc.","260608147402","Healthcare","Drug Manufacturers - General","0.355383","101.4","2.27","250","Paris","EURONEXT","US","false","false","false",
"RGAGX","American Funds The Growth Fund of America Class R-6","255074287389","Financial Services","Asset Management","1.09","72.05","0.565","0","NASDAQ","NASDAQ","null","false","true","true",
"GAFFX","American Funds The Growth Fund of America Class F-3","254826479591","Financial Services","Asset Management","1.09","71.98","0.565","0","NASDAQ","NASDAQ","null","false","true","true",
"AGTHX","American Funds The Growth Fund of America Class A","254401642448","Financial Services","Asset Management","1.09","71.86","0.37","0","NASDAQ","NASDAQ","US","false","true","true",
